PID,POIs
POI1,Golconda Fort
POI2,Charminar
POI3,Qutub Shahi Tombs
POI4,Mecca Masjid
POI5,Salar Jung Museum
POI6,Sudha Cars Museum
POI7,Lord Shiva Temple Hyderabad
POI8,Chowmahalla Palace
POI9,Taramati Baradari
POI10,Hussain Sagar Lake
POI11,Ramoji Film City
POI12,Chowmahalla Palace
POI13,Picasso Art Gallery
POI14,Venkateswara Swamy Temple
POI15,Sun Temple Hyderabad
POI16,Narasimha Swamy Temple
POI17,Gonalda
POI18,Qutub Shahi Tombs
POI19,Nehru Zoo Park
POI20,Laad Bazaar
POI21,Purani Haveli
POI22,Toli Masjid
POI23,Paigah Tombs
POI24,NTR Gardens
POI25,Nizam palaces tour Royal history of Hyderabad
POI26,Hyderabad Classic Half Day Tour
POI27,Taj Falaknuma Palace
POI28,Buddha Temple in Hyderabad
POI29,Shyam Temple Hyderabad
POI30,Shri Jagannath Temple
POI31,Nizam Museum
POI32,Wonderla Amusement Park
POI33,Begum Bazaar
POI34,  Nizamia Observatory
POI35,Aalankritha Art Gallery
POI36,Perfume Market
POI37,Jalavihar Water Park
POI38,Biggest Baobab
POI39,Mirchi ka Salan
POI40,Jauzi Halwa 
POI41,Shahran Market
POI42,Dattatreya Temple
POI43,Kalakriti Art Gallery
POI44,Snow World
POI45,Golconda Fort Sound & Light Show - Hyderabad
POI46,Karmanghat Hanuman Temple
POI47,Escape Water Park
POI48,Spanish Mosque
POI49,Hyderabad Nampally Exhibition
POI50,Taramati Baradari
POI51,AHMAD LAKE
POI52,B.M. Birla Planetarium
POI53,Sri Gnana Saraswati Temple
POI54,The Yacht Club
POI55,Shri Adinath Jain Temple
POI56,Peddamma Gudi Temple
POI57,Ashtalakshmi Temple
POI58,Iskon Temple Hyderabad
POI59,Char Minar Bazaar
POI60,Toli Masjid
POI61,Begum Bazaar
POI62,Keesaragutta Temple
POI63,Birla Science Center
POI64,KBR National Park
POI65,Moazzam Jahi Market
POI66,Abids Street
POI67,Shilparaman
POI68,Statue of Equality
POI69,MIDNIGHT AMUSEMENT PARK
POI70,Jagannath Temple
POI71,Pot Bazaar
POI72,Ananthagiri Trekking
POI73,Wildwoods Adventure Club
